grafo_id,n,p,optimizer,seed,r_final
3,8,1,cobyla,11,0.83094
3,8,1,cobyla,12,0.6
3,8,1,cobyla,13,0.83094
3,8,1,cobyla,14,0.83094
3,8,1,cobyla,15,0.83094
3,8,1,cobyla,16,0.83094
3,8,1,cobyla,17,0.83094
3,8,1,cobyla,18,0.83094
3,8,1,cobyla,19,0.83094
3,8,1,random,0,0.830715
3,8,1,random,1,0.830105
3,8,1,random,2,0.830238
3,8,1,random,3,0.829877
3,8,1,random,4,0.830731
3,8,1,random,5,0.829786
3,8,1,random,6,0.830894
3,8,1,random,7,0.829891
3,8,1,random,8,0.830897
3,8,1,random,9,0.83089
3,8,1,random,10,0.830231
3,8,1,random,11,0.830595
3,8,1,random,12,0.830796
3,8,1,random,13,0.830708
3,8,1,random,14,0.830432
3,8,1,random,15,0.830437
3,8,1,random,16,0.830902
3,8,1,random,17,0.830692
3,8,1,random,18,0.830789
3,8,1,random,19,0.830909
3,8,1,cobyla_restart,0,0.83094
3,8,1,cobyla_restart,1,0.83094
3,8,1,cobyla_restart,2,0.83094
3,8,1,cobyla_restart,3,0.83094
3,8,1,cobyla_restart,4,0.83094
3,8,1,cobyla_restart,5,0.83094
3,8,1,cobyla_restart,6,0.83094
3,8,1,cobyla_restart,7,0.83094
3,8,1,cobyla_restart,8,0.83094
3,8,1,cobyla_restart,9,0.83094
3,8,1,cobyla_restart,10,0.83094
3,8,1,cobyla_restart,11,0.83094
3,8,1,cobyla_restart,12,0.83094
3,8,1,cobyla_restart,13,0.83094
3,8,1,cobyla_restart,14,0.83094
3,8,1,cobyla_restart,15,0.83094
3,8,1,cobyla_restart,16,0.83094
3,8,1,cobyla_restart,17,0.83094
3,8,1,cobyla_restart,18,0.83094
3,8,1,cobyla_restart,19,0.83094
3,8,2,qiea,0,0.91834
3,8,2,qiea,1,0.916471
3,8,2,qiea,2,0.906894
3,8,2,qiea,3,0.92476
3,8,2,qiea,4,0.918022
3,8,2,qiea,5,0.900717
3,8,2,qiea,6,0.920407
3,8,2,qiea,7,0.922918
3,8,2,qiea,8,0.915051
3,8,2,qiea,9,0.885194
3,8,2,qiea,10,0.92476
3,8,2,qiea,11,0.902441
3,8,2,qiea,12,0.89934
3,8,2,qiea,13,0.900479
3,8,2,qiea,14,0.919658
3,8,2,qiea,15,0.919411
3,8,2,qiea,16,0.91172
3,8,2,qiea,17,0.917703
3,8,2,qiea,18,0.923481
3,8,2,qiea,19,0.923769
3,8,2,cobyla,0,0.892864
3,8,2,cobyla,1,0.92016
3,8,2,cobyla,2,0.92016
3,8,2,cobyla,3,0.924805
3,8,2,cobyla,4,0.924805
3,8,2,cobyla,5,0.892864
3,8,2,cobyla,6,0.892864
3,8,2,cobyla,7,0.924805
3,8,2,cobyla,8,0.92016
3,8,2,cobyla,9,0.892864
3,8,2,cobyla,10,0.924805
3,8,2,cobyla,11,0.924805
3,8,2,cobyla,12,0.924805
3,8,2,cobyla,13,0.892864
3,8,2,cobyla,14,0.92016
3,8,2,cobyla,15,0.924805
3,8,2,cobyla,16,0.92016
3,8,2,cobyla,17,0.920159
3,8,2,cobyla,18,0.92016
3,8,2,cobyla,19,0.92016
3,8,2,random,0,0.915779
3,8,2,random,1,0.903288
3,8,2,random,2,0.914296
3,8,2,random,3,0.921629
3,8,2,random,4,0.913627
3,8,2,random,5,0.91368
3,8,2,random,6,0.91579
3,8,2,random,7,0.899133
3,8,2,random,8,0.902743
3,8,2,random,9,0.897118
3,8,2,random,10,0.905392
3,8,2,random,11,0.905989
3,8,2,random,12,0.907233
3,8,2,random,13,0.922122
3,8,2,random,14,0.911152
3,8,2,random,15,0.911224
3,8,2,random,16,0.905287
3,8,2,random,17,0.904125
3,8,2,random,18,0.9008
3,8,2,random,19,0.896534
3,8,2,cobyla_restart,0,0.924805
3,8,2,cobyla_restart,1,0.924805
3,8,2,cobyla_restart,2,0.924805
3,8,2,cobyla_restart,3,0.924805
3,8,2,cobyla_restart,4,0.924805
3,8,2,cobyla_restart,5,0.924805
3,8,2,cobyla_restart,6,0.924805
3,8,2,cobyla_restart,7,0.924805
3,8,2,cobyla_restart,8,0.924805
3,8,2,cobyla_restart,9,0.924805
3,8,2,cobyla_restart,10,0.924805
3,8,2,cobyla_restart,11,0.924805
3,8,2,cobyla_restart,12,0.924805
3,8,2,cobyla_restart,13,0.924805
3,8,2,cobyla_restart,14,0.924805
3,8,2,cobyla_restart,15,0.924805
3,8,2,cobyla_restart,16,0.924805
3,8,2,cobyla_restart,17,0.924805
3,8,2,cobyla_restart,18,0.924805
3,8,2,cobyla_restart,19,0.924805
4,8,1,qiea,0,0.691674
4,8,1,qiea,1,0.692366
4,8,1,qiea,2,0.692337
4,8,1,qiea,3,0.69106
4,8,1,qiea,4,0.691674
4,8,1,qiea,5,0.692366
4,8,1,qiea,6,0.692417
4,8,1,qiea,7,0.692366
4,8,1,qiea,8,0.69106
4,8,1,qiea,9,0.691645
4,8,1,qiea,10,0.692366
4,8,1,qiea,11,0.691645
4,8,1,qiea,12,0.692366
4,8,1,qiea,13,0.692417
4,8,1,qiea,14,0.692446
4,8,1,qiea,15,0.692446
4,8,1,qiea,16,0.692417
4,8,1,qiea,17,0.692446
4,8,1,qiea,18,0.692337
4,8,1,qiea,19,0.692366
4,8,1,cobyla,0,0.69245
4,8,1,cobyla,1,0.69245
4,8,1,cobyla,2,0.69245
4,8,1,cobyla,3,0.69245
4,8,1,cobyla,4,0.69245
4,8,1,cobyla,5,0.69245
4,8,1,cobyla,6,0.69245
4,8,1,cobyla,7,0.69245
4,8,1,cobyla,8,0.69245
4,8,1,cobyla,9,0.69245
4,8,1,cobyla,10,0.69245
4,8,1,cobyla,11,0.69245
4,8,1,cobyla,12,0.5
4,8,1,cobyla,13,0.69245
4,8,1,cobyla,14,0.69245
4,8,1,cobyla,15,0.69245
4,8,1,cobyla,16,0.69245
4,8,1,cobyla,17,0.69245
4,8,1,cobyla,18,0.69245
4,8,1,cobyla,19,0.69245
4,8,1,random,0,0.692262
4,8,1,random,1,0.691754
4,8,1,random,2,0.691865
4,8,1,random,3,0.691564
4,8,1,random,4,0.692276
4,8,1,random,5,0.691489
4,8,1,random,6,0.692412
4,8,1,random,7,0.691575
4,8,1,random,8,0.692414
4,8,1,random,9,0.692408
4,8,1,random,10,0.691859
4,8,1,random,11,0.692162
4,8,1,random,12,0.69233
4,8,1,random,13,0.692257
4,8,1,random,14,0.692027
4,8,1,random,15,0.69203
4,8,1,random,16,0.692418
4,8,1,random,17,0.692243
4,8,1,random,18,0.692324
4,8,1,random,19,0.692424
4,8,1,cobyla_restart,0,0.69245
4,8,1,cobyla_restart,1,0.69245
4,8,1,cobyla_restart,2,0.69245
4,8,1,cobyla_restart,3,0.69245
4,8,1,cobyla_restart,4,0.69245
4,8,1,cobyla_restart,5,0.69245
4,8,1,cobyla_restart,6,0.69245
4,8,1,cobyla_restart,7,0.69245
4,8,1,cobyla_restart,8,0.69245
4,8,1,cobyla_restart,9,0.69245
4,8,1,cobyla_restart,10,0.69245
4,8,1,cobyla_restart,11,0.69245
4,8,1,cobyla_restart,12,0.69245
4,8,1,cobyla_restart,13,0.69245
4,8,1,cobyla_restart,14,0.69245
4,8,1,cobyla_restart,15,0.69245
4,8,1,cobyla_restart,16,0.69245
4,8,1,cobyla_restart,17,0.69245
4,8,1,cobyla_restart,18,0.69245
4,8,1,cobyla_restart,19,0.69245
4,8,2,qiea,0,0.798124
4,8,2,qiea,1,0.798194
4,8,2,qiea,2,0.799013
4,8,2,qiea,3,0.806374
4,8,2,qiea,4,0.799671
4,8,2,qiea,5,0.79878
4,8,2,qiea,6,0.800469
4,8,2,qiea,7,0.80766
4,8,2,qiea,8,0.800803
4,8,2,qiea,9,0.755209
4,8,2,qiea,10,0.807748
4,8,2,qiea,11,0.806271
4,8,2,qiea,12,0.806625
4,8,2,qiea,13,0.766288
4,8,2,qiea,14,0.802106
4,8,2,qiea,15,0.798099
4,8,2,qiea,16,0.801608
4,8,2,qiea,17,0.8015
4,8,2,qiea,18,0.806271
4,8,2,qiea,19,0.800911
4,8,2,cobyla,0,0.760775
4,8,2,cobyla,1,0.802363
4,8,2,cobyla,2,0.760775
4,8,2,cobyla,3,0.701406
4,8,2,cobyla,4,0.807945
4,8,2,cobyla,5,0.760775
4,8,2,cobyla,6,0.760775
4,8,2,cobyla,7,0.802363
4,8,2,cobyla,8,0.802363
4,8,2,cobyla,9,0.760775
4,8,2,cobyla,10,0.802363
4,8,2,cobyla,11,0.807945
4,8,2,cobyla,12,0.802363
4,8,2,cobyla,13,0.807945
4,8,2,cobyla,14,0.802363
4,8,2,cobyla,15,0.807945
4,8,2,cobyla,16,0.802363
4,8,2,cobyla,17,0.802363
4,8,2,cobyla,18,0.802363
4,8,2,cobyla,19,0.802363
4,8,2,random,0,0.794087
4,8,2,random,1,0.785236
4,8,2,random,2,0.795314
4,8,2,random,3,0.791002
4,8,2,random,4,0.787099
4,8,2,random,5,0.786975
4,8,2,random,6,0.788595
4,8,2,random,7,0.800832
4,8,2,random,8,0.773369
4,8,2,random,9,0.784925
4,8,2,random,10,0.784547
4,8,2,random,11,0.78608
4,8,2,random,12,0.784956
4,8,2,random,13,0.792725
4,8,2,random,14,0.801814
4,8,2,random,15,0.806298
4,8,2,random,16,0.784705
4,8,2,random,17,0.786362
4,8,2,random,18,0.788694
4,8,2,random,19,0.781385
4,8,2,cobyla_restart,0,0.807945
4,8,2,cobyla_restart,1,0.807945
4,8,2,cobyla_restart,2,0.807945
4,8,2,cobyla_restart,3,0.807945
4,8,2,cobyla_restart,4,0.807945
